# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.2-SNAPSHOT

builduhc.players, long, 0000000000000000
combo.players, long, 0000000000000000
cosmicffa::antirain, string, 800474727565
cosmicffa::blood, string, 800474727565
cosmicffa::blood::cuantity, long, 0000000000000005
cosmicffa::bungeemode, string, 800566616C7365
cosmicffa::bungeemode::hub, string, 80054C6F626279
cosmicffa::firework, string, 800474727565
cosmicffa::prefix, string, 801FC2A738C2A76C5BC2A739C2A76C436F736D6963464641C2A738C2A76C5D2D3E
cosmicffa::pvp-effects, string, 800474727565
cosmicffa::pvp-sounds, string, 800474727565
cosmicffa::scoreboard::lines::1, string, 8014C2A736C2A76C3E20C2A765C2A76C506C61796572
cosmicffa::scoreboard::lines::2, string, 80163C52616E646F6D2D436F6C6F723E3C506C617965723E
cosmicffa::scoreboard::lines::3, string, 80073C456D7074793E
cosmicffa::scoreboard::lines::4, string, 8013C2A736C2A76C3E20C2A765C2A76C4B696C6C73
cosmicffa::scoreboard::lines::5, string, 800D2020202020203C4B696C6C733E
cosmicffa::scoreboard::lines::6, string, 80073C456D7074793E
cosmicffa::scoreboard::lines::7, string, 8014C2A736C2A76C3E20C2A765C2A76C446561746873
cosmicffa::scoreboard::lines::8, string, 800E2020202020203C4465617468733E
cosmicffa::scoreboard::lines::9, string, 80073C456D7074793E
cosmicffa::scoreboard::lines::10, string, 8014C2A736C2A76C3E20C2A765C2A76C53747265616B
cosmicffa::scoreboard::lines::11, string, 800E2020202020203C53747265616B3E
cosmicffa::scoreboard::lines::12, string, 80073C456D7074793E
cosmicffa::scoreboard::lines::13, string, 8015C2A765506C61792E436F736D69634646412E4E6574
cosmicffa::scoreboard::tittle, string, 801B20202020202020C2A739C2A76C436F736D69634646412020202020
cosmicffa.boots.ileakspvp, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.boots.smexycps, itemstack, 810576616C75652080C976616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204449414D4F4E445F424F4F54530A20206D6574613A0A202020203D3D3A204974656D4D6574610A202020206D6574612D747970653A20554E53504543494649430A20202020646973706C61792D6E616D653A20225C786137624B69742072616E646F6D220A20202020656E6368616E74733A0A20202020202050524F54454354494F4E5F454E5649524F4E4D454E54414C3A20320A
cosmicffa.chestplate.ileakspvp, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cosmicffa.chestplate.smexycps, itemstack, 810576616C75652080CB76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A2049524F4E5F4348455354504C4154450A20206D6574613A0A202020203D3D3A204974656D4D6574610A202020206D6574612D747970653A20554E53504543494649430A20202020646973706C61792D6E616D653A20225C786137624B69742072616E646F6D220A20202020656E6368616E74733A0A20202020202050524F54454354494F4E5F454E5649524F4E4D454E54414C3A20330A
cosmicffa.deaths.ileakspvp, long, 0000000000000000
cosmicffa.deaths.ileakspvp.builduhc, long, 0000000000000000
cosmicffa.deaths.ileakspvp.combo, long, 0000000000000000
cosmicffa.deaths.ileakspvp.normal, long, 0000000000000000
cosmicffa.deaths.ileakspvp.sg, long, 0000000000000000
cosmicffa.deaths.ileakspvp.soup, long, 0000000000000000
cosmicffa.deaths.smexycps, long, 0000000000000000
cosmicffa.deaths.smexycps.builduhc, long, 0000000000000000
cosmicffa.deaths.smexycps.combo, long, 0000000000000000
cosmicffa.deaths.smexycps.normal, long, 0000000000000000
cosmicffa.deaths.smexycps.sg, long, 0000000000000000
cosmicffa.deaths.smexycps.soup, long, 0000000000000000
cosmicffa.helmet.ileakspvp, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
